MATRIZ DE TRAZABILIDAD DE REQUISITOS (ISO 21500 / PMBOK) - ENFOQUE TÉCNICO DE IMPLEMENTACIÓN
TÍTULO DEL PROYECTO:,LocadedCar (Plataforma Premium de Exhibición y Venta de Autos Deportivos),Fecha edición:,10/09/2026
Organización / Responsable:,BYTE-FORCE / Equipo de Ingeniería y Desarrollo Web,Código Proyecto:,PRJ-LOCADEDCAR-2026

ID,REQUISITO,TIPO,PRIO,ESTADO,OBJETIVO TÉCNICO / NEGOCIO,ENTREGABLE(s) TÉCNICO,ESTADO (Entreg.),VALIDACIÓN (persona/fecha)
RF-01,"Catálogo interactivo",Funcional,Alta,Activo,"React Server Components (RSC) consumiendo Prisma ORM, mapeando vehículos deportivos con formateo de divisas Intl (MXN) y filtrado reactivo por estado de disponibilidad.","Módulo Catálogo (/catalogo, CatalogGrid.tsx, CarCard.tsx)",Aceptado,BYTE-FORCE / 10-09-2026
RF-02,"Ficha de detalle y selector de color",Funcional,Alta,Activo,"Construir vista dinámica (/catalogo/[id]) con selector interactivo de color HEX en tiempo real, renderizado de ficha técnica y visor multimedia Three.js / R3F estilo Apple Liquid Glass.","Vista Detalle & Visor (/catalogo/[id], CarMediaViewer.tsx)",Aceptado,BYTE-FORCE / 10-09-2026
RF-03,"Panel administrativo CRUD de inventario",Funcional,Alta,Activo,"Registrar, listar, editar y dar de baja unidades (marca, modelo, año, precio, clasificación deportiva y URLs de galería) con gestión en tiempo real sin despliegues manuales.",Módulo Admin Inventario (/admin/inventario/page.tsx),Aceptado,BYTE-FORCE / 10-09-2026
RF-04,"Módulo CRM de administración de clientes",Funcional,Media,Activo,"Registrar prospectos, almacenar canales de contacto directo (correo/teléfono con enlaces mailto/tel) y vincular cotizaciones de compra para seguimiento comercial inmediato.",Módulo CRM Clientes (/admin/clientes/page.tsx),Aceptado,BYTE-FORCE / 10-09-2026
RF-05,"Formulario de contacto y cotización VIP",Funcional,Media,Activo,"Capturar leads calificados de compradores interesados con validación reactiva de campos obligatorios y enrutamiento hacia el equipo de ventas comerciales.",Formulario de Contacto (/contacto/page.tsx),Aceptado,BYTE-FORCE / 10-09-2026
RT-01,"Base de datos relacional y modelo ORM",No Funcional,Alta,Activo,"Modelar y migrar base de datos con Prisma ORM (Vehiculo, Cliente, Vendedor, Transaccion, ColorVariante) garantizando integridad referencial mediante claves foráneas y seeds automáticos.","Capa de Datos Prisma (prisma/schema.prisma, seed.ts, dev.db)",Aceptado,BYTE-FORCE / 10-09-2026
RT-02,"Arquitectura Next.js 16 y compilación",No Funcional,Alta,Activo,"Configurar arquitectura Next.js 16 con App Router, bundling Turbopack, tipado estricto TypeScript y compilación de producción para optimizar Core Web Vitals, SEO y escalabilidad.","Configuración y Build (next.config.ts, tsconfig.json, .next/)",Aceptado,BYTE-FORCE / 10-09-2026
RNF-01,"Sistema de diseño Glassmorphism y UX",No Funcional,Alta,Activo,"Aplicar sistema visual de superlujo automotriz con Tailwind CSS v4 (componentes translúcidos con backdrop-blur, gradientes sutiles) y micro-interacciones suaves con Framer Motion.","Estilos y Componentes (globals.css, Navbar.tsx, Hero.tsx)",Aceptado,BYTE-FORCE / 10-09-2026
RNF-02,"Control transaccional y consistencia contable",No Funcional,Media,Activo,"Estructurar control transaccional asociando cliente, vehículo y vendedor mediante transacciones atómicas para prevenir inconsistencias, evitar compras dobles y asegurar auditoría.",Modelo Transaccion y Relaciones en ORM,Aceptado,BYTE-FORCE / 10-09-2026

